CD_MUN,NR_TURNO,CD_CARGO,NR_VOTAVEL,SQ_CANDIDATO,QT_VOTOS
2611533,1,7,44999,170001609281,1
2611533,1,7,45000,170001605464,9
2611533,1,7,45245,170001605475,1
2611533,1,7,45500,170001605468,2
2611533,1,7,50000,170001618395,1
2611533,1,7,50013,170001618407,8
2611533,1,7,51555,170001609868,2
2611533,1,7,55555,170001609931,3
2611533,1,7,65123,170001608952,5
2611533,1,7,70123,170001613430,7
2611533,1,7,70700,170001613434,3
2611533,1,7,77000,170001610738,1
2611533,1,7,77111,170001610750,47
2611533,1,7,77123,170001610741,11
2611533,1,7,77137,170001610752,1
2611533,1,7,77444,170001610721,1
2611533,1,7,77710,170001610718,1
2611533,1,7,77770,170001610745,530
2611533,1,7,77777,170001610753,11
2600104,1,3,14,170001618273,27
2600104,1,3,16,170001601203,3
2600104,1,3,21,170001715590,43
2600104,1,3,22,170001602587,2310
2600104,1,3,29,170001717342,1
2600104,1,3,35,170001613254,1
2600104,1,3,40,170001618087,7408
2600104,1,3,44,170001604111,2670
2600104,1,3,45,170001604087,1556
2600104,1,3,50,170001715331,18
2600104,1,3,77,170001610442,4818
2600104,1,3,95,-1,1285
2600104,1,3,96,-1,2303
2600104,1,5,95,-1,2222
2600104,1,5,96,-1,2809
2600104,1,5,130,170001618130,10612
2600104,1,5,160,170001601200,16
2600104,1,5,222,170001604083,3291
2600104,1,5,281,170001717122,11
2600104,1,5,290,170001717466,7
2600104,1,5,444,170001609174,960
2600104,1,5,456,170001608748,158
2600104,1,5,500,170001613411,62
2600104,1,5,555,170001610248,2295
2600104,1,6,10,-3,9
2600104,1,6,11,-3,21
2600104,1,6,12,-3,49
2600104,1,6,13,-3,132
2600104,1,6,14,-3,19
2600104,1,6,15,-3,5
2600104,1,6,16,-3,7
2600104,1,6,18,-3,1
2600104,1,6,19,-3,14
2600104,1,6,20,-3,6
2600104,1,6,21,-3,2
2600104,1,6,22,-3,57
2600104,1,6,23,-3,8
2600104,1,6,27,-3,1
2600104,1,6,28,-3,1
2600104,1,6,29,-3,1
2600104,1,6,36,-3,2
2600104,1,6,40,-3,294
2600104,1,6,43,-3,3
2600104,1,6,44,-3,23
2600104,1,6,45,-3,14
2600104,1,6,50,-3,1
2600104,1,6,51,-3,3
2600104,1,6,55,-3,9
2600104,1,6,65,-3,10
2600104,1,6,70,-3,1
2600104,1,6,77,-3,54
2600104,1,6,80,-3,2
2600104,1,6,90,-3,1
2600104,1,6,95,-1,1375
2600104,1,6,96,-1,961
2600104,1,6,1000,170001595454,5
2600104,1,6,1001,170001595459,3
2600104,1,6,1007,170001595461,1
2600104,1,6,1010,170001595473,76
2600104,1,6,1011,170001595460,1
2600104,1,6,1012,170001595468,164
2600104,1,6,1015,170001595452,1
2600104,1,6,1020,170001595465,1
2600104,1,6,1022,170001595455,3
2600104,1,6,1030,170001595464,1
2600104,1,6,1033,170001595466,140
2600104,1,6,1040,170001595458,3
2600104,1,6,1050,170001595469,2
2600104,1,6,1077,170001595463,3
2600104,1,6,1090,170001595472,2
2600104,1,6,1099,170001595456,6
2600104,1,6,1100,170001618620,3
2600104,1,6,1111,170001618611,48
2600104,1,6,1112,170001618608,2
2600104,1,6,1113,170001618612,1
2600104,1,6,1122,170001618605,457
2600104,1,6,1123,170001618603,14
2600104,1,6,1133,170001618616,8
2600104,1,6,1144,170001618604,4
2600104,1,6,1155,170001618609,5
2600104,1,6,1161,170001618615,2
2600104,1,6,1190,170001618622,27
2600104,1,6,1199,170001618606,6
2600104,1,6,1211,170001618855,1
2600104,1,6,1212,170001618841,12
2600104,1,6,1213,170001618839,2
2600104,1,6,1214,170001618854,5
2600104,1,6,1221,170001618847,1
2600104,1,6,1222,170001618844,15
2600104,1,6,1230,170001618848,2
2600104,1,6,1233,170001618853,5
2600104,1,6,1234,170001618856,59
2600104,1,6,1236,170001618846,1
2600104,1,6,1240,170001618836,2
2600104,1,6,1244,170001618850,1
2600104,1,6,1300,170001609032,3
2600104,1,6,1303,170001609024,1
2600104,1,6,1310,170001609031,32
2600104,1,6,1311,170001609039,8
2600104,1,6,1313,170001609023,34
2600104,1,6,1314,170001609028,1319
2600104,1,6,1320,170001609033,3
2600104,1,6,1331,170001609037,4
2600104,1,6,1333,170001609029,49
2600104,1,6,1340,170001609035,5
2600104,1,6,1344,170001609036,30
2600104,1,6,1370,170001609022,1
2600104,1,6,1400,170001620143,3
2600104,1,6,1414,170001620146,1
2600104,1,6,1422,170001620140,1
2600104,1,6,1444,170001620149,5
2600104,1,6,1500,170001613275,1
2600104,1,6,1510,170001613283,4
2600104,1,6,1515,170001613277,198
2600104,1,6,1555,170001613278,3
2600104,1,6,1580,170001613276,5
2600104,1,6,1599,170001613267,2
2600104,1,6,1811,170001619590,1
2600104,1,6,1813,170001619580,4
2600104,1,6,1818,170001619597,204
2600104,1,6,1888,170001619591,3
2600104,1,6,1900,170001602561,1
2600104,1,6,1907,170001602577,1
2600104,1,6,1911,170001602566,1
2600104,1,6,1912,170001602581,2
2600104,1,6,1919,170001602580,27
2600104,1,6,1922,170001602568,3
2600104,1,6,1933,170001602570,3
2600104,1,6,1938,170001602571,4
2600104,1,6,1944,170001602560,22
2600104,1,6,1990,170001602565,5
2600104,1,6,1999,170001602574,4172
2600104,1,6,2022,170001715431,1
2600104,1,6,2100,170001715593,1
2600104,1,6,2121,170001715592,3
2600104,1,6,2200,170001609087,242
2600104,1,6,2202,170001609068,3
2600104,1,6,2204,170001609077,1
2600104,1,6,2210,170001609070,559
2600104,1,6,2211,170001609075,92
2600104,1,6,2212,170001609072,1
2600104,1,6,2215,170001609083,9
2600104,1,6,2217,170001609078,2
2600104,1,6,2222,170001609080,384
2600104,1,6,2224,170001609071,1
2600104,1,6,2225,170001609067,1
2600104,1,6,2230,170001609065,2
2600104,1,6,2233,170001609086,181
2600104,1,6,2238,170001609089,8
2600104,1,6,2244,170001609085,5
2600104,1,6,2255,170001609082,2
2600104,1,6,2270,170001609079,3
2600104,1,6,2277,170001609074,1
2600104,1,6,2290,170001609069,4
2600104,1,6,2323,170001604097,27
2600104,1,6,2708,170001723351,2
2600104,1,6,2800,170001634992,233
2600104,1,6,2899,170001635000,3
2600104,1,6,3000,170001596604,281
2600104,1,6,3003,170001596605,4
2600104,1,6,3030,170001596602,1
2600104,1,6,3033,170001596600,1
2600104,1,6,3332,170001718020,1
2600104,1,6,3344,170001718011,1
2600104,1,6,3630,170001718768,2
2600104,1,6,3660,170001718780,1
2600104,1,6,4000,170001619895,1822
2600104,1,6,4001,170001619896,53
2600104,1,6,4002,170001619890,1
2600104,1,6,4004,170001619891,21
2600104,1,6,4009,170001619900,1
2600104,1,6,4010,170001619897,39
2600104,1,6,4011,170001619894,190
2600104,1,6,4013,170001619902,25
2600104,1,6,4019,170001619889,14
2600104,1,6,4020,170001619892,45
2600104,1,6,4024,170001619898,5
2600104,1,6,4040,170001619899,5549
2600104,1,6,4044,170001619893,54
2600104,1,6,4046,170001619901,2
2600104,1,6,4333,170001609025,35
2600104,1,6,4343,170001609026,2
2600104,1,6,4400,170001609134,11
2600104,1,6,4401,170001609122,73
2600104,1,6,4404,170001609113,19
2600104,1,6,4410,170001609117,1
2600104,1,6,4411,170001609132,4
2600104,1,6,4414,170001738823,3
2600104,1,6,4422,170001609116,1
2600104,1,6,4433,170001609111,22
2600104,1,6,4441,170001610769,1
2600104,1,6,4444,170001609112,13
2600104,1,6,4445,170001609128,1
2600104,1,6,4452,170001609131,2
2600104,1,6,4455,170001609130,2
2600104,1,6,4456,170001609114,1
2600104,1,6,4477,170001609123,2
2600104,1,6,4499,170001609121,1
2600104,1,6,4500,170001604099,1
2600104,1,6,4511,170001613161,2
2600104,1,6,4522,170001604093,1
2600104,1,6,4533,170001604105,93
2600104,1,6,4545,170001604098,1
2600104,1,6,4550,170001604095,1
2600104,1,6,4567,170001604106,1
2600104,1,6,5000,170001619584,89
2600104,1,6,5013,170001619582,18
2600104,1,6,5018,170001619592,2
2600104,1,6,5025,170001619594,3
2600104,1,6,5044,170001619598,1
2600104,1,6,5050,170001619581,19
2600104,1,6,5051,170001724241,1
2600104,1,6,5088,170001619586,3
2600104,1,6,5100,170001609649,28
2600104,1,6,5111,170001609641,21
2600104,1,6,5117,170001609652,3
2600104,1,6,5138,170001609657,1
2600104,1,6,5555,170001609929,3
2600104,1,6,6513,170001609044,32
2600104,1,6,7010,170001610400,1
2600104,1,6,7017,170001610394,1
2600104,1,6,7024,170001610396,3
2600104,1,6,7040,170001610403,38
2600104,1,6,7055,170001610402,2
2600104,1,6,7066,170001610404,1
2600104,1,6,7070,170001610411,678
2600104,1,6,7075,170001610399,5
2600104,1,6,7077,170001610413,1
2600104,1,6,7700,170001610572,9
2600104,1,6,7707,170001728102,1
2600104,1,6,7710,170001610565,2
2600104,1,6,7711,170001610564,4
2600104,1,6,7712,170001610570,11
2600104,1,6,7713,170001610574,856
2600104,1,6,7731,170001610567,12
2600104,1,6,7755,170001610571,1
2600104,1,6,7777,170001610575,60
2600104,1,6,7789,170001610569,2
2600104,1,6,8080,170001600160,7
2600104,1,7,10,-3,25
2600104,1,7,11,-3,26
2600104,1,7,12,-3,20
2600104,1,7,13,-3,510
2600104,1,7,14,-3,16
2600104,1,7,16,-3,1
2600104,1,7,18,-3,3
2600104,1,7,21,-3,2
2600104,1,7,22,-3,77
2600104,1,7,23,-3,3
2600104,1,7,28,-3,1
2600104,1,7,33,-3,3
2600104,1,7,35,-3,1
2600104,1,7,36,-3,5
2600104,1,7,40,-3,461
2600104,1,7,43,-3,2
2600104,1,7,44,-3,76
2600104,1,7,45,-3,34
2600104,1,7,50,-3,4
2600104,1,7,51,-3,8
2600104,1,7,55,-3,121
2600104,1,7,65,-3,26
2600104,1,7,70,-3,3
2600104,1,7,77,-3,95
2600104,1,7,95,-1,1342
2600104,1,7,96,-1,966
2600104,1,7,10101,170001595435,1
2600104,1,7,10113,170001595437,1
2600104,1,7,10122,170001595430,2
2600104,1,7,10123,170001595431,126
2600104,1,7,10190,170001595421,4
2600104,1,7,10222,170001595427,3
2600104,1,7,10610,170001595443,2
2600104,1,7,10777,170001595432,3
2600104,1,7,11000,170001618735,176
2600104,1,7,11011,170001618730,1
2600104,1,7,11022,170001618743,9
2600104,1,7,11111,170001618745,20
2600104,1,7,11200,170001618738,6
2600104,1,7,11211,170001618736,3
2600104,1,7,11222,170001618752,302
2600104,1,7,11333,170001618753,2
2600104,1,7,11444,170001618737,69
2600104,1,7,11511,170001618757,2
2600104,1,7,11555,170001618756,5
2600104,1,7,11611,170001618728,5
2600104,1,7,11777,170001618759,23
2600104,1,7,11789,170001618748,3
2600104,1,7,12012,170001618940,1
2600104,1,7,12123,170001618941,2
2600104,1,7,12300,170001618934,1
2600104,1,7,12321,170001618927,1
2600104,1,7,12333,170001618942,1
2600104,1,7,12345,170001618937,12
2600104,1,7,12456,170001618926,3
2600104,1,7,12999,170001618935,2
2600104,1,7,13000,170001608965,7
2600104,1,7,13013,170001608966,1
2600104,1,7,13100,170001608960,36
2600104,1,7,13111,170001608981,9
2600104,1,7,13113,170001608984,27
2600104,1,7,13123,170001608977,203
2600104,1,7,13144,170001608975,28
2600104,1,7,13180,170001608963,7
2600104,1,7,13444,170001608976,5
2600104,1,7,13456,170001608961,5
2600104,1,7,13613,170001608980,2
2600104,1,7,13789,170001608958,4
2600104,1,7,14222,170001619984,1
2600104,1,7,14999,170001619987,4
2600104,1,7,18000,170001618398,3
2600104,1,7,18100,170001618409,5
2600104,1,7,18111,170001618421,17
2600104,1,7,18180,170001618416,3
2600104,1,7,18718,170001618428,1
2600104,1,7,18888,170001724249,2
2600104,1,7,21000,170001715595,1
2600104,1,7,21021,170001715594,3
2600104,1,7,22000,170001619683,2
2600104,1,7,22007,170001619688,5
2600104,1,7,22010,170001619693,48
2600104,1,7,22011,170001619700,1
2600104,1,7,22100,170001619712,12
2600104,1,7,22112,170001619708,1
2600104,1,7,22122,170001619694,1
2600104,1,7,22123,170001619717,24
2600104,1,7,22190,170001619701,24
2600104,1,7,22200,170001619686,1
2600104,1,7,22222,170001619685,904
2600104,1,7,22267,170001619724,1
2600104,1,7,22300,170001619707,38
2600104,1,7,22380,170001619715,1
2600104,1,7,22444,170001619682,6
2600104,1,7,22567,170001619726,1
2600104,1,7,22622,170001619710,11
2600104,1,7,22678,170001619725,2
2600104,1,7,22822,170001619690,86
2600104,1,7,22888,170001619704,2
2600104,1,7,22922,170001619698,2
2600104,1,7,22999,170001619699,5
2600104,1,7,23023,170001605467,1
2600104,1,7,23222,170001605491,3
2600104,1,7,23232,170001605487,10
2600104,1,7,23333,170001605470,1
2600104,1,7,23423,170001605474,3
2600104,1,7,23456,170001605481,1
2600104,1,7,23555,170001605492,3
2600104,1,7,23999,170001605473,4
2600104,1,7,28000,170001717071,8
2600104,1,7,28007,170001717063,2
2600104,1,7,28190,170001717068,1
2600104,1,7,35222,170001722253,2
2600104,1,7,40000,170001620388,205
2600104,1,7,40004,170001620373,5
2600104,1,7,40013,170001620368,9
2600104,1,7,40040,170001620380,4
2600104,1,7,40100,170001620395,41
2600104,1,7,40111,170001620377,6
2600104,1,7,40123,170001620371,6
2600104,1,7,40140,170001620398,4
2600104,1,7,40156,170001620402,17
2600104,1,7,40190,170001620397,28
2600104,1,7,40232,170001620372,6
2600104,1,7,40234,170001620384,29
2600104,1,7,40400,170001620364,20
2600104,1,7,40413,170001620399,11994
2600104,1,7,40444,170001620394,18
2600104,1,7,40456,170001620379,1
2600104,1,7,40500,170001620385,5
2600104,1,7,40540,170001620383,6
2600104,1,7,40555,170001620381,16
2600104,1,7,40640,170001620382,61
2600104,1,7,40654,170001620393,13
2600104,1,7,40678,170001620387,13
2600104,1,7,40777,170001620374,3
2600104,1,7,40789,170001620376,3
2600104,1,7,40856,170001620370,2
2600104,1,7,40888,170001620392,1
2600104,1,7,40999,170001620401,1
2600104,1,7,43333,170001608972,117
2600104,1,7,43555,170001608973,6
2600104,1,7,43643,170001608974,5
2600104,1,7,44000,170001609285,5
2600104,1,7,44022,170001609288,2
2600104,1,7,44040,170001609275,1
2600104,1,7,44044,170001609291,1
2600104,1,7,44111,170001609284,1
2600104,1,7,44123,170001609264,20
2600104,1,7,44144,170001613821,136
2600104,1,7,44193,170001609308,1
2600104,1,7,44222,170001609297,3
2600104,1,7,44234,170001609290,1
2600104,1,7,44400,170001609269,1
2600104,1,7,44440,170001609277,3
2600104,1,7,44444,170001609265,40
2600104,1,7,44555,170001609274,1
2600104,1,7,44567,170001609279,2
2600104,1,7,44613,170001609283,4
2600104,1,7,44678,170001609307,79
2600104,1,7,44777,170001609260,6
2600104,1,7,45000,170001605464,52
2600104,1,7,45111,170001605485,9
2600104,1,7,45123,170001605469,10
2600104,1,7,45133,170001605478,1
2600104,1,7,45222,170001605495,4
2600104,1,7,45245,170001605475,3
2600104,1,7,45500,170001605468,9
2600104,1,7,45678,170001605490,2
2600104,1,7,45888,170001605471,2
2600104,1,7,50000,170001618395,19
2600104,1,7,50013,170001618407,33
2600104,1,7,50100,170001618403,4
2600104,1,7,50180,170001618417,33
2600104,1,7,50444,170001724245,1
2600104,1,7,50777,170001618400,1
2600104,1,7,51000,170001609852,7
2600104,1,7,51232,170001609856,2
2600104,1,7,51422,170001609865,1
2600104,1,7,51444,170001609851,3
2600104,1,7,51500,170001609884,3
2600104,1,7,51551,170001609867,1
2600104,1,7,51555,170001609868,6
2600104,1,7,51651,170001609859,141
2600104,1,7,51789,170001609864,14
2600104,1,7,55555,170001609931,7
2600104,1,7,65113,170001608956,1
2600104,1,7,65123,170001608952,1049
2600104,1,7,65400,170001608953,4
2600104,1,7,65555,170001608957,1
2600104,1,7,65613,170001608978,20
2600104,1,7,70123,170001613430,4
2600104,1,7,77000,170001610738,15
2600104,1,7,77055,170001610739,6
2600104,1,7,77100,170001610727,5
2600104,1,7,77111,170001610750,76
2600104,1,7,77122,170001610751,1
2600104,1,7,77123,170001610741,85
2600104,1,7,77133,170001610733,12
2600104,1,7,77137,170001610752,1
2600104,1,7,77444,170001610721,3
2600104,1,7,77456,170001610723,8
2600104,1,7,77555,170001610732,5
2600104,1,7,77699,170001610731,2
2600104,1,7,77700,170001610742,1
2600104,1,7,77710,170001610718,2
2600104,1,7,77770,170001610745,1574
2600104,1,7,77777,170001610753,33
2600104,1,7,77999,170001610743,1
2600104,1,7,80180,170001600158,1
2608453,1,3,14,170001618273,11
2608453,1,3,16,170001601203,1
2608453,1,3,21,170001715590,17
2608453,1,3,22,170001602587,1532
2608453,1,3,35,170001613254,1
2608453,1,3,40,170001618087,2276
2608453,1,3,44,170001604111,1466
2608453,1,3,45,170001604087,2496
2608453,1,3,50,170001715331,3
2608453,1,3,77,170001610442,3004
2608453,1,3,95,-1,474
2608453,1,3,96,-1,1092
2608453,1,5,95,-1,1004
2608453,1,5,96,-1,1507
2608453,1,5,130,170001618130,3610
2608453,1,5,160,170001601200,14
2608453,1,5,222,170001604083,2391
2608453,1,5,281,170001717122,22
2608453,1,5,290,170001717466,1
2608453,1,5,444,170001609174,376
2608453,1,5,456,170001608748,378
2608453,1,5,500,170001613411,30
2608453,1,5,555,170001610248,3040
2608453,1,6,10,-3,16
2608453,1,6,11,-3,13
2608453,1,6,12,-3,15
2608453,1,6,13,-3,64
2608453,1,6,14,-3,7
2608453,1,6,15,-3,4
2608453,1,6,18,-3,5
2608453,1,6,19,-3,8
2608453,1,6,20,-3,1
2608453,1,6,22,-3,28
2608453,1,6,23,-3,3
2608453,1,6,30,-3,2
2608453,1,6,33,-3,1
2608453,1,6,35,-3,1
2608453,1,6,40,-3,100
2608453,1,6,43,-3,4
2608453,1,6,44,-3,22
2608453,1,6,45,-3,15
2608453,1,6,50,-3,2
2608453,1,6,55,-3,6
2608453,1,6,70,-3,5
2608453,1,6,77,-3,12
2608453,1,6,90,-3,3
2608453,1,6,95,-1,606
2608453,1,6,96,-1,540
2608453,1,6,1000,170001595454,2609
2608453,1,6,1001,170001595459,4
2608453,1,6,1003,170001595470,1
2608453,1,6,1007,170001595461,5
2608453,1,6,1010,170001595473,31
2608453,1,6,1012,170001595468,147
2608453,1,6,1015,170001595452,1
2608453,1,6,1020,170001595465,1
2608453,1,6,1022,170001595455,3
2608453,1,6,1023,170001595475,1
2608453,1,6,1030,170001595464,1
2608453,1,6,1033,170001595466,41
2608453,1,6,1044,170001595453,1
2608453,1,6,1045,170001595471,2
2608453,1,6,1050,170001595469,2
2608453,1,6,1055,170001595457,1
2608453,1,6,1077,170001595463,6
2608453,1,6,1090,170001595472,1
2608453,1,6,1100,170001618620,15
2608453,1,6,1111,170001618611,87
2608453,1,6,1112,170001618608,3
2608453,1,6,1113,170001618612,1
2608453,1,6,1120,170001618614,11
2608453,1,6,1122,170001618605,569
2608453,1,6,1123,170001618603,7
2608453,1,6,1133,170001618616,1
2608453,1,6,1144,170001618604,1
2608453,1,6,1145,170001618621,1
2608453,1,6,1155,170001618609,5
2608453,1,6,1161,170001618615,49
2608453,1,6,1167,170001618619,1
2608453,1,6,1177,170001618601,2
2608453,1,6,1189,170001618617,1
2608453,1,6,1190,170001618622,18
2608453,1,6,1199,170001618606,2
2608453,1,6,1200,170001618838,2
2608453,1,6,1202,170001618842,2
2608453,1,6,1210,170001618843,1
2608453,1,6,1212,170001618841,1
2608453,1,6,1213,170001618839,1
2608453,1,6,1214,170001618854,2
2608453,1,6,1221,170001618847,1
2608453,1,6,1222,170001618844,4
2608453,1,6,1232,170001618852,1
2608453,1,6,1234,170001618856,7
2608453,1,6,1236,170001618846,1
2608453,1,6,1240,170001618836,161
2608453,1,6,1244,170001618850,2
2608453,1,6,1245,170001618849,1
2608453,1,6,1255,170001618837,2
2608453,1,6,1300,170001609032,5
2608453,1,6,1301,170001609030,3
2608453,1,6,1310,170001609031,44
2608453,1,6,1311,170001609039,8
2608453,1,6,1313,170001609023,35
2608453,1,6,1314,170001609028,246
2608453,1,6,1331,170001609037,5
2608453,1,6,1333,170001609029,25
2608453,1,6,1340,170001609035,2
2608453,1,6,1344,170001609036,3
2608453,1,6,1350,170001609041,1
2608453,1,6,1400,170001620143,2
2608453,1,6,1414,170001620146,3
2608453,1,6,1444,170001620149,1
2608453,1,6,1500,170001613275,5
2608453,1,6,1501,170001613274,1
2608453,1,6,1502,170001613271,4
2608453,1,6,1507,170001613282,1
2608453,1,6,1510,170001613283,1
2608453,1,6,1515,170001613277,27
2608453,1,6,1533,170001613269,3
2608453,1,6,1555,170001613278,461
2608453,1,6,1565,170001613265,5
2608453,1,6,1580,170001613276,21
2608453,1,6,1616,170001602541,2
2608453,1,6,1813,170001619580,2
2608453,1,6,1818,170001619597,187
2608453,1,6,1888,170001619591,2
2608453,1,6,1890,170001619587,1
2608453,1,6,1911,170001602566,2
2608453,1,6,1917,170001602573,1
2608453,1,6,1919,170001602580,735
2608453,1,6,1920,170001602576,1
2608453,1,6,1923,170001602579,2
2608453,1,6,1938,170001602571,3
2608453,1,6,1940,170001602575,2
2608453,1,6,1944,170001602560,30
2608453,1,6,1977,170001602562,1
2608453,1,6,1991,170001602582,2
2608453,1,6,1999,170001602574,1
2608453,1,6,2000,170001715433,1
2608453,1,6,2004,170001715432,1
2608453,1,6,2020,170001715427,2
2608453,1,6,2022,170001715431,1
