NR_TURNO,CD_MUN,NM_MUN,CD_CARGO,NR_VOTAVEL,SQ_CANDIDATO,QT_VOTOS
1,23019,AFOGADOS DA INGAZEIRA,3,16,170001601203,3
1,23019,AFOGADOS DA INGAZEIRA,3,21,170001715590,43
1,23019,AFOGADOS DA INGAZEIRA,3,22,170001602587,2310
1,23019,AFOGADOS DA INGAZEIRA,3,29,170001717342,1
1,23019,AFOGADOS DA INGAZEIRA,3,35,170001613254,1
1,23019,AFOGADOS DA INGAZEIRA,3,40,170001618087,7408
1,23019,AFOGADOS DA INGAZEIRA,3,44,170001604111,2670
1,23019,AFOGADOS DA INGAZEIRA,3,45,170001604087,1556
1,23019,AFOGADOS DA INGAZEIRA,3,50,170001715331,18
1,23019,AFOGADOS DA INGAZEIRA,3,77,170001610442,4818
1,23019,AFOGADOS DA INGAZEIRA,3,95,-1,1285
1,23019,AFOGADOS DA INGAZEIRA,3,96,-1,2303
1,23019,AFOGADOS DA INGAZEIRA,5,95,-1,2222
1,23019,AFOGADOS DA INGAZEIRA,5,96,-1,2809
1,23019,AFOGADOS DA INGAZEIRA,5,130,170001618130,10612
1,23019,AFOGADOS DA INGAZEIRA,5,160,170001601200,16
1,23019,AFOGADOS DA INGAZEIRA,5,222,170001604083,3291
1,23019,AFOGADOS DA INGAZEIRA,5,281,170001717122,11
1,23019,AFOGADOS DA INGAZEIRA,5,290,170001717466,7
1,23019,AFOGADOS DA INGAZEIRA,5,444,170001609174,960
1,23019,AFOGADOS DA INGAZEIRA,5,456,170001608748,158
1,23019,AFOGADOS DA INGAZEIRA,5,500,170001613411,62
1,23019,AFOGADOS DA INGAZEIRA,5,555,170001610248,2295
1,23019,AFOGADOS DA INGAZEIRA,6,10,-3,9
1,23019,AFOGADOS DA INGAZEIRA,6,11,-3,21
1,23019,AFOGADOS DA INGAZEIRA,6,12,-3,49
1,23019,AFOGADOS DA INGAZEIRA,6,13,-3,132
1,23019,AFOGADOS DA INGAZEIRA,6,14,-3,19
1,23019,AFOGADOS DA INGAZEIRA,6,15,-3,5
1,23019,AFOGADOS DA INGAZEIRA,6,16,-3,7
1,23019,AFOGADOS DA INGAZEIRA,6,18,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,19,-3,14
1,23019,AFOGADOS DA INGAZEIRA,6,20,-3,6
1,23019,AFOGADOS DA INGAZEIRA,6,21,-3,2
1,23019,AFOGADOS DA INGAZEIRA,6,22,-3,57
1,23019,AFOGADOS DA INGAZEIRA,6,23,-3,8
1,23019,AFOGADOS DA INGAZEIRA,6,27,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,28,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,29,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,36,-3,2
1,23019,AFOGADOS DA INGAZEIRA,6,40,-3,294
1,23019,AFOGADOS DA INGAZEIRA,6,43,-3,3
1,23019,AFOGADOS DA INGAZEIRA,6,44,-3,23
1,23019,AFOGADOS DA INGAZEIRA,6,45,-3,14
1,23019,AFOGADOS DA INGAZEIRA,6,50,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,51,-3,3
1,23019,AFOGADOS DA INGAZEIRA,6,55,-3,9
1,23019,AFOGADOS DA INGAZEIRA,6,65,-3,10
1,23019,AFOGADOS DA INGAZEIRA,6,70,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,77,-3,54
1,23019,AFOGADOS DA INGAZEIRA,6,80,-3,2
1,23019,AFOGADOS DA INGAZEIRA,6,90,-3,1
1,23019,AFOGADOS DA INGAZEIRA,6,95,-1,1375
1,23019,AFOGADOS DA INGAZEIRA,6,96,-1,961
1,23019,AFOGADOS DA INGAZEIRA,6,1000,170001595454,5
1,23019,AFOGADOS DA INGAZEIRA,6,1001,170001595459,3
1,23019,AFOGADOS DA INGAZEIRA,6,1007,170001595461,1
1,23019,AFOGADOS DA INGAZEIRA,6,1010,170001595473,76
1,23019,AFOGADOS DA INGAZEIRA,6,1011,170001595460,1
1,23019,AFOGADOS DA INGAZEIRA,6,1012,170001595468,164
1,23019,AFOGADOS DA INGAZEIRA,6,1015,170001595452,1
1,23019,AFOGADOS DA INGAZEIRA,6,1020,170001595465,1
1,23019,AFOGADOS DA INGAZEIRA,6,1022,170001595455,3
1,23019,AFOGADOS DA INGAZEIRA,6,1030,170001595464,1
1,23019,AFOGADOS DA INGAZEIRA,6,1033,170001595466,140
1,23019,AFOGADOS DA INGAZEIRA,6,1040,170001595458,3
1,23019,AFOGADOS DA INGAZEIRA,6,1050,170001595469,2
1,23019,AFOGADOS DA INGAZEIRA,6,1077,170001595463,3
1,23019,AFOGADOS DA INGAZEIRA,6,1090,170001595472,2
1,23019,AFOGADOS DA INGAZEIRA,6,1099,170001595456,6
1,23019,AFOGADOS DA INGAZEIRA,6,1100,170001618620,3
1,23019,AFOGADOS DA INGAZEIRA,6,1111,170001618611,48
1,23019,AFOGADOS DA INGAZEIRA,6,1112,170001618608,2
1,23019,AFOGADOS DA INGAZEIRA,6,1113,170001618612,1
1,23019,AFOGADOS DA INGAZEIRA,6,1122,170001618605,457
1,23019,AFOGADOS DA INGAZEIRA,6,1123,170001618603,14
1,23019,AFOGADOS DA INGAZEIRA,6,1133,170001618616,8
1,23019,AFOGADOS DA INGAZEIRA,6,1144,170001618604,4
1,23019,AFOGADOS DA INGAZEIRA,6,1155,170001618609,5
1,23019,AFOGADOS DA INGAZEIRA,6,1161,170001618615,2
1,23019,AFOGADOS DA INGAZEIRA,6,1190,170001618622,27
1,23019,AFOGADOS DA INGAZEIRA,6,1199,170001618606,6
1,23019,AFOGADOS DA INGAZEIRA,6,1211,170001618855,1
1,23019,AFOGADOS DA INGAZEIRA,6,1212,170001618841,12
1,23019,AFOGADOS DA INGAZEIRA,6,1213,170001618839,2
1,23019,AFOGADOS DA INGAZEIRA,6,1214,170001618854,5
1,23019,AFOGADOS DA INGAZEIRA,6,1221,170001618847,1
1,23019,AFOGADOS DA INGAZEIRA,6,1222,170001618844,15
1,23019,AFOGADOS DA INGAZEIRA,6,1230,170001618848,2
1,23019,AFOGADOS DA INGAZEIRA,6,1233,170001618853,5
1,23019,AFOGADOS DA INGAZEIRA,6,1234,170001618856,59
1,23019,AFOGADOS DA INGAZEIRA,6,1236,170001618846,1
1,23019,AFOGADOS DA INGAZEIRA,6,1240,170001618836,2
1,23019,AFOGADOS DA INGAZEIRA,6,1244,170001618850,1
1,23019,AFOGADOS DA INGAZEIRA,6,1300,170001609032,3
1,23019,AFOGADOS DA INGAZEIRA,6,1303,170001609024,1
1,23019,AFOGADOS DA INGAZEIRA,6,1310,170001609031,32
1,23019,AFOGADOS DA INGAZEIRA,6,1311,170001609039,8
1,23019,AFOGADOS DA INGAZEIRA,6,1313,170001609023,34
1,23019,AFOGADOS DA INGAZEIRA,6,1314,170001609028,1319
1,23019,AFOGADOS DA INGAZEIRA,6,1320,170001609033,3
1,23019,AFOGADOS DA INGAZEIRA,6,1331,170001609037,4
1,23019,AFOGADOS DA INGAZEIRA,6,1333,170001609029,49
1,23019,AFOGADOS DA INGAZEIRA,6,1340,170001609035,5
1,23019,AFOGADOS DA INGAZEIRA,6,1344,170001609036,30
1,23019,AFOGADOS DA INGAZEIRA,6,1370,170001609022,1
1,23019,AFOGADOS DA INGAZEIRA,6,1400,170001620143,3
1,23019,AFOGADOS DA INGAZEIRA,6,1414,170001620146,1
1,23019,AFOGADOS DA INGAZEIRA,6,1422,170001620140,1
1,23019,AFOGADOS DA INGAZEIRA,6,1444,170001620149,5
1,23019,AFOGADOS DA INGAZEIRA,6,1500,170001613275,1
1,23019,AFOGADOS DA INGAZEIRA,6,1510,170001613283,4
1,23019,AFOGADOS DA INGAZEIRA,6,1515,170001613277,198
1,23019,AFOGADOS DA INGAZEIRA,6,1555,170001613278,3
1,23019,AFOGADOS DA INGAZEIRA,6,1580,170001613276,5
1,23019,AFOGADOS DA INGAZEIRA,6,1599,170001613267,2
1,23019,AFOGADOS DA INGAZEIRA,6,1811,170001619590,1
1,23019,AFOGADOS DA INGAZEIRA,6,1813,170001619580,4
1,23019,AFOGADOS DA INGAZEIRA,6,1818,170001619597,204
1,23019,AFOGADOS DA INGAZEIRA,6,1888,170001619591,3
1,23019,AFOGADOS DA INGAZEIRA,6,1900,170001602561,1
1,23019,AFOGADOS DA INGAZEIRA,6,1907,170001602577,1
1,23019,AFOGADOS DA INGAZEIRA,6,1911,170001602566,1
1,23019,AFOGADOS DA INGAZEIRA,6,1912,170001602581,2
1,23019,AFOGADOS DA INGAZEIRA,6,1919,170001602580,27
1,23019,AFOGADOS DA INGAZEIRA,6,1922,170001602568,3
1,23019,AFOGADOS DA INGAZEIRA,6,1933,170001602570,3
1,23019,AFOGADOS DA INGAZEIRA,6,1938,170001602571,4
1,23019,AFOGADOS DA INGAZEIRA,6,1944,170001602560,22
1,23019,AFOGADOS DA INGAZEIRA,6,1990,170001602565,5
1,23019,AFOGADOS DA INGAZEIRA,6,1999,170001602574,4172
1,23019,AFOGADOS DA INGAZEIRA,6,2022,170001715431,1
1,23019,AFOGADOS DA INGAZEIRA,6,2100,170001715593,1
1,23019,AFOGADOS DA INGAZEIRA,6,2121,170001715592,3
1,23019,AFOGADOS DA INGAZEIRA,6,2200,170001609087,242
1,23019,AFOGADOS DA INGAZEIRA,6,2202,170001609068,3
1,23019,AFOGADOS DA INGAZEIRA,6,2204,170001609077,1
1,23019,AFOGADOS DA INGAZEIRA,6,2210,170001609070,559
1,23019,AFOGADOS DA INGAZEIRA,6,2211,170001609075,92
1,23019,AFOGADOS DA INGAZEIRA,6,2212,170001609072,1
1,23019,AFOGADOS DA INGAZEIRA,6,2215,170001609083,9
1,23019,AFOGADOS DA INGAZEIRA,6,2217,170001609078,2
1,23019,AFOGADOS DA INGAZEIRA,6,2222,170001609080,384
1,23019,AFOGADOS DA INGAZEIRA,6,2224,170001609071,1
1,23019,AFOGADOS DA INGAZEIRA,6,2225,170001609067,1
1,23019,AFOGADOS DA INGAZEIRA,6,2230,170001609065,2
1,23019,AFOGADOS DA INGAZEIRA,6,2233,170001609086,181
1,23019,AFOGADOS DA INGAZEIRA,6,2238,170001609089,8
1,23019,AFOGADOS DA INGAZEIRA,6,2244,170001609085,5
1,23019,AFOGADOS DA INGAZEIRA,6,2255,170001609082,2
1,23019,AFOGADOS DA INGAZEIRA,6,2270,170001609079,3
1,23019,AFOGADOS DA INGAZEIRA,6,2277,170001609074,1
1,23019,AFOGADOS DA INGAZEIRA,6,2290,170001609069,4
1,23019,AFOGADOS DA INGAZEIRA,6,2323,170001604097,27
1,23019,AFOGADOS DA INGAZEIRA,6,2708,170001723351,2
1,23019,AFOGADOS DA INGAZEIRA,6,2800,170001634992,233
1,23019,AFOGADOS DA INGAZEIRA,6,2899,170001635000,3
1,23019,AFOGADOS DA INGAZEIRA,6,3000,170001596604,281
1,23019,AFOGADOS DA INGAZEIRA,6,3003,170001596605,4
1,23019,AFOGADOS DA INGAZEIRA,6,3030,170001596602,1
1,23019,AFOGADOS DA INGAZEIRA,6,3033,170001596600,1
1,23019,AFOGADOS DA INGAZEIRA,6,3332,170001718020,1
1,23019,AFOGADOS DA INGAZEIRA,6,3344,170001718011,1
1,23019,AFOGADOS DA INGAZEIRA,6,3630,170001718768,2
1,23019,AFOGADOS DA INGAZEIRA,6,3660,170001718780,1
1,23019,AFOGADOS DA INGAZEIRA,6,4000,170001619895,1822
1,23019,AFOGADOS DA INGAZEIRA,6,4001,170001619896,53
1,23019,AFOGADOS DA INGAZEIRA,6,4002,170001619890,1
1,23019,AFOGADOS DA INGAZEIRA,6,4004,170001619891,21
1,23019,AFOGADOS DA INGAZEIRA,6,4009,170001619900,1
1,23019,AFOGADOS DA INGAZEIRA,6,4010,170001619897,39
1,23019,AFOGADOS DA INGAZEIRA,6,4011,170001619894,190
1,23019,AFOGADOS DA INGAZEIRA,6,4013,170001619902,25
1,23019,AFOGADOS DA INGAZEIRA,6,4019,170001619889,14
1,23019,AFOGADOS DA INGAZEIRA,6,4020,170001619892,45
1,23019,AFOGADOS DA INGAZEIRA,6,4024,170001619898,5
1,23019,AFOGADOS DA INGAZEIRA,6,4040,170001619899,5549
1,23019,AFOGADOS DA INGAZEIRA,6,4044,170001619893,54
1,23019,AFOGADOS DA INGAZEIRA,6,4046,170001619901,2
1,23019,AFOGADOS DA INGAZEIRA,6,4333,170001609025,35
1,23019,AFOGADOS DA INGAZEIRA,6,4343,170001609026,2
1,23019,AFOGADOS DA INGAZEIRA,6,4400,170001609134,11
1,23019,AFOGADOS DA INGAZEIRA,6,4401,170001609122,73
1,23019,AFOGADOS DA INGAZEIRA,6,4404,170001609113,19
1,23019,AFOGADOS DA INGAZEIRA,6,4410,170001609117,1
1,23019,AFOGADOS DA INGAZEIRA,6,4411,170001609132,4
1,23019,AFOGADOS DA INGAZEIRA,6,4414,170001738823,3
1,23019,AFOGADOS DA INGAZEIRA,6,4422,170001609116,1
1,23019,AFOGADOS DA INGAZEIRA,6,4433,170001609111,22
1,23019,AFOGADOS DA INGAZEIRA,6,4441,170001610769,1
1,23019,AFOGADOS DA INGAZEIRA,6,4444,170001609112,13
1,23019,AFOGADOS DA INGAZEIRA,6,4445,170001609128,1
1,23019,AFOGADOS DA INGAZEIRA,6,4452,170001609131,2
1,23019,AFOGADOS DA INGAZEIRA,6,4455,170001609130,2
1,23019,AFOGADOS DA INGAZEIRA,6,4456,170001609114,1
1,23019,AFOGADOS DA INGAZEIRA,6,4477,170001609123,2
1,23019,AFOGADOS DA INGAZEIRA,6,4499,170001609121,1
1,23019,AFOGADOS DA INGAZEIRA,6,4500,170001604099,1
1,23019,AFOGADOS DA INGAZEIRA,6,4511,170001613161,2
1,23019,AFOGADOS DA INGAZEIRA,6,4522,170001604093,1
1,23019,AFOGADOS DA INGAZEIRA,6,4533,170001604105,93
1,23019,AFOGADOS DA INGAZEIRA,6,4545,170001604098,1
1,23019,AFOGADOS DA INGAZEIRA,6,4550,170001604095,1
1,23019,AFOGADOS DA INGAZEIRA,6,4567,170001604106,1
1,23019,AFOGADOS DA INGAZEIRA,6,5000,170001619584,89
1,23019,AFOGADOS DA INGAZEIRA,6,5013,170001619582,18
1,23019,AFOGADOS DA INGAZEIRA,6,5018,170001619592,2
1,23019,AFOGADOS DA INGAZEIRA,6,5025,170001619594,3
1,23019,AFOGADOS DA INGAZEIRA,6,5044,170001619598,1
1,23019,AFOGADOS DA INGAZEIRA,6,5050,170001619581,19
1,23019,AFOGADOS DA INGAZEIRA,6,5051,170001724241,1
1,23019,AFOGADOS DA INGAZEIRA,6,5088,170001619586,3
1,23019,AFOGADOS DA INGAZEIRA,6,5100,170001609649,28
1,23019,AFOGADOS DA INGAZEIRA,6,5111,170001609641,21
1,23019,AFOGADOS DA INGAZEIRA,6,5117,170001609652,3
1,23019,AFOGADOS DA INGAZEIRA,6,5138,170001609657,1
1,23019,AFOGADOS DA INGAZEIRA,6,5555,170001609929,3
1,23019,AFOGADOS DA INGAZEIRA,6,6513,170001609044,32
1,23019,AFOGADOS DA INGAZEIRA,6,7010,170001610400,1
1,23019,AFOGADOS DA INGAZEIRA,6,7017,170001610394,1
1,23019,AFOGADOS DA INGAZEIRA,6,7024,170001610396,3
1,23019,AFOGADOS DA INGAZEIRA,6,7040,170001610403,38
1,23019,AFOGADOS DA INGAZEIRA,6,7055,170001610402,2
1,23019,AFOGADOS DA INGAZEIRA,6,7066,170001610404,1
1,23019,AFOGADOS DA INGAZEIRA,6,7070,170001610411,678
1,23019,AFOGADOS DA INGAZEIRA,6,7075,170001610399,5
1,23019,AFOGADOS DA INGAZEIRA,6,7077,170001610413,1
1,23019,AFOGADOS DA INGAZEIRA,6,7700,170001610572,9
1,23019,AFOGADOS DA INGAZEIRA,6,7707,170001728102,1
1,23019,AFOGADOS DA INGAZEIRA,6,7710,170001610565,2
1,23019,AFOGADOS DA INGAZEIRA,6,7711,170001610564,4
1,23019,AFOGADOS DA INGAZEIRA,6,7712,170001610570,11
1,23019,AFOGADOS DA INGAZEIRA,6,7713,170001610574,856
1,23019,AFOGADOS DA INGAZEIRA,6,7731,170001610567,12
1,23019,AFOGADOS DA INGAZEIRA,6,7755,170001610571,1
1,23019,AFOGADOS DA INGAZEIRA,6,7777,170001610575,60
1,23019,AFOGADOS DA INGAZEIRA,6,7789,170001610569,2
1,23019,AFOGADOS DA INGAZEIRA,6,8080,170001600160,7
1,23019,AFOGADOS DA INGAZEIRA,7,10,-3,25
1,23019,AFOGADOS DA INGAZEIRA,7,11,-3,26
1,23019,AFOGADOS DA INGAZEIRA,7,12,-3,20
1,23019,AFOGADOS DA INGAZEIRA,7,13,-3,510
1,23019,AFOGADOS DA INGAZEIRA,7,14,-3,16
1,23019,AFOGADOS DA INGAZEIRA,7,16,-3,1
1,23019,AFOGADOS DA INGAZEIRA,7,18,-3,3
1,23019,AFOGADOS DA INGAZEIRA,7,21,-3,2
1,23019,AFOGADOS DA INGAZEIRA,7,22,-3,77
1,23019,AFOGADOS DA INGAZEIRA,7,23,-3,3
1,23019,AFOGADOS DA INGAZEIRA,7,28,-3,1
1,23019,AFOGADOS DA INGAZEIRA,7,33,-3,3
1,23019,AFOGADOS DA INGAZEIRA,7,35,-3,1
1,23019,AFOGADOS DA INGAZEIRA,7,36,-3,5
1,23019,AFOGADOS DA INGAZEIRA,7,40,-3,461
1,23019,AFOGADOS DA INGAZEIRA,7,43,-3,2
1,23019,AFOGADOS DA INGAZEIRA,7,44,-3,76
1,23019,AFOGADOS DA INGAZEIRA,7,45,-3,34
1,23019,AFOGADOS DA INGAZEIRA,7,50,-3,4
1,23019,AFOGADOS DA INGAZEIRA,7,51,-3,8
1,23019,AFOGADOS DA INGAZEIRA,7,55,-3,121
1,23019,AFOGADOS DA INGAZEIRA,7,65,-3,26
1,23019,AFOGADOS DA INGAZEIRA,7,70,-3,3
1,23019,AFOGADOS DA INGAZEIRA,7,77,-3,95
1,23019,AFOGADOS DA INGAZEIRA,7,95,-1,1342
1,23019,AFOGADOS DA INGAZEIRA,7,96,-1,966
1,23019,AFOGADOS DA INGAZEIRA,7,10101,170001595435,1
