CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
3,2,2606002,73658
3,2,2606101,17364
3,2,2606200,48149
3,2,2606309,5353
3,2,2606408,50791
3,2,2606507,10360
3,2,2606606,14358
3,2,2606705,4979
3,2,2606804,67025
3,2,2606903,6529
3,2,2607000,10399
3,2,2607109,3203
3,2,2607208,61122
3,2,2607307,15633
3,2,2607406,3191
3,2,2607505,13634
3,2,2607604,13180
3,2,2607653,17821
3,2,2607703,8812
3,2,2607752,15048
3,2,2607802,9901
3,2,2607901,352200
3,2,2607950,6604
3,2,2608008,10637
3,2,2608057,7805
3,2,2608107,17656
3,2,2608206,10331
3,2,2608255,7430
3,2,2608305,9217
3,2,2608404,8490
3,2,2608453,11730
3,2,2608503,13781
3,2,2608602,7877
3,2,2608701,8371
3,2,2608750,14780
3,2,2608800,23259
3,2,2608909,34543
3,2,2609006,13877
3,2,2609105,7934
3,2,2609154,9076
3,2,2609204,5440
3,2,2609303,8317
3,2,2609402,36729
3,2,2609501,19876
3,2,2609600,238740
3,2,2609709,13220
3,2,2609808,8817
3,2,2609907,35054
3,2,2610004,29705
3,2,2610103,4148
3,2,2610202,14216
3,2,2610301,8100
3,2,2610400,13548
3,2,2610509,19379
3,2,2610608,34348
3,2,2610707,181885
3,2,2610806,13602
3,2,2610905,35858
3,2,2611002,17981
3,2,2611101,174311
3,2,2611200,7100
3,2,2611309,15546
3,2,2611408,8027
3,2,2611507,10516
3,2,2611533,4715
3,2,2611606,968290
3,2,2611705,15860
3,2,2611804,20430
3,2,2611903,11814
3,2,2612000,8597
3,2,2612109,5041
3,2,2612208,31945
3,2,2612307,8642
3,2,2612406,11918
3,2,2612455,9737
3,2,2612471,7071
3,2,2612505,49928
3,2,2612554,9090
3,2,2612604,22232
3,2,2612703,8274
3,2,2612802,5926
3,2,2612901,5258
3,2,2613008,25467
3,2,2613107,23108
3,2,2613206,13308
3,2,2613305,12864
3,2,2613404,10628
3,2,2613503,18654
3,2,2613602,16896
3,2,2613701,62330
3,2,2613800,10458
3,2,2613909,45600
3,2,2614006,11335
3,2,2614105,17566
3,2,2614204,20790
3,2,2614303,6966
3,2,2614402,4153
3,2,2614501,35608
3,2,2614600,15596
3,2,2614709,7561
3,2,2614808,12669
3,2,2614857,13755
3,2,2615003,16194
3,2,2615102,4649
3,2,2615201,6589
3,2,2615300,31597
3,2,2615409,25222
3,2,2615508,8793
3,2,2615607,15944
3,2,2615706,8614
3,2,2615805,11496
3,2,2615904,6178
3,2,2616001,10660
3,2,2616100,5816
3,2,2616183,5817
3,2,2616209,12193
3,2,2616308,16088
3,2,2616407,79890
3,2,2616506,7054
5,1,2600054,53485
5,1,2600104,17412
5,1,2600203,10961
5,1,2600302,12145
5,1,2600401,11922
5,1,2600500,19346
5,1,2600609,7794
5,1,2600708,17328
5,1,2600807,9601
5,1,2600906,10005
5,1,2601003,5461
5,1,2601052,11220
5,1,2601102,36385
5,1,2601201,31135
5,1,2601300,6859
5,1,2601409,17823
5,1,2601508,5925
5,1,2601607,10299
5,1,2601706,33863
5,1,2601805,6143
5,1,2601904,27153
5,1,2602001,16746
5,1,2602100,21054
5,1,2602209,18538
5,1,2602308,18320
5,1,2602407,5536
5,1,2602506,4190
5,1,2602605,20377
5,1,2602704,7398
5,1,2602803,21408
5,1,2602902,99268
5,1,2603009,17095
5,1,2603108,9218
5,1,2603207,11079
5,1,2603306,4743
5,1,2603405,4548
5,1,2603454,80122
5,1,2603504,9024
5,1,2603603,4471
5,1,2603702,9820
5,1,2603801,9172
5,1,2603900,10143
5,1,2603926,7728
5,1,2604007,38304
5,1,2604106,156152
5,1,2604155,7195
5,1,2604205,15401
5,1,2604304,6165
5,1,2604403,7378
5,1,2604502,11225
5,1,2604601,11950
5,1,2604700,8294
5,1,2604809,6621
5,1,2604908,9383
5,1,2605004,12298
5,1,2605103,17385
5,1,2605152,10547
5,1,2605202,30923
5,1,2605301,16527
5,1,2605400,11179
5,1,2605459,1798
5,1,2605509,6146
5,1,2605608,9887
5,1,2605707,16043
5,1,2605806,8098
5,1,2605905,8926
5,1,2606002,61621
5,1,2606101,13602
5,1,2606200,40462
5,1,2606309,4707
5,1,2606408,37946
5,1,2606507,9188
5,1,2606606,13239
5,1,2606705,4129
5,1,2606804,55348
5,1,2606903,5615
5,1,2607000,9478
5,1,2607109,2657
5,1,2607208,50316
5,1,2607307,13751
5,1,2607406,3084
5,1,2607505,11982
5,1,2607604,11426
5,1,2607653,14531
5,1,2607703,7416
5,1,2607752,12884
5,1,2607802,8822
5,1,2607901,286408
5,1,2607950,5947
5,1,2608008,9292
5,1,2608057,7246
5,1,2608107,14533
5,1,2608206,8449
5,1,2608255,6018
5,1,2608305,7500
5,1,2608404,7281
5,1,2608453,9862
5,1,2608503,11285
5,1,2608602,6942
5,1,2608701,7387
5,1,2608750,13553
5,1,2608800,18922
5,1,2608909,28486
5,1,2609006,11681
5,1,2609105,6611
5,1,2609154,8005
5,1,2609204,5215
5,1,2609303,7380
5,1,2609402,29714
5,1,2609501,15405
5,1,2609600,202809
5,1,2609709,11483
5,1,2609808,8078
5,1,2609907,30316
5,1,2610004,23979
5,1,2610103,3484
5,1,2610202,12648
5,1,2610301,6837
5,1,2610400,12482
5,1,2610509,15908
5,1,2610608,28640
5,1,2610707,152444
5,1,2610806,11647
5,1,2610905,29451
5,1,2611002,16423
5,1,2611101,158226
5,1,2611200,6010
5,1,2611309,12164
5,1,2611408,6691
5,1,2611507,8345
5,1,2611533,4145
5,1,2611606,829237
5,1,2611705,13032
5,1,2611804,17553
5,1,2611903,10135
5,1,2612000,6635
5,1,2612109,4385
5,1,2612208,26793
5,1,2612307,7384
5,1,2612406,9452
5,1,2612455,9005
5,1,2612471,6002
5,1,2612505,44270
5,1,2612554,8444
5,1,2612604,20890
5,1,2612703,6510
5,1,2612802,5250
5,1,2612901,4465
5,1,2613008,20888
5,1,2613107,18956
5,1,2613206,11145
5,1,2613305,10456
5,1,2613404,9263
5,1,2613503,15830
5,1,2613602,13826
5,1,2613701,52685
5,1,2613800,9021
5,1,2613909,39573
5,1,2614006,10241
5,1,2614105,15037
5,1,2614204,17583
5,1,2614303,5976
5,1,2614402,3748
5,1,2614501,28319
5,1,2614600,12760
5,1,2614709,6191
5,1,2614808,11591
5,1,2614857,11870
5,1,2615003,13652
5,1,2615102,3918
5,1,2615201,6097
5,1,2615300,25488
5,1,2615409,21892
5,1,2615508,7225
5,1,2615607,14585
5,1,2615706,7126
5,1,2615805,9883
5,1,2615904,5208
5,1,2616001,9246
5,1,2616100,5297
5,1,2616183,4783
5,1,2616209,9699
5,1,2616308,13688
5,1,2616407,63698
5,1,2616506,5910
6,1,2600054,58229
6,1,2600104,20107
6,1,2600203,12628
6,1,2600302,14017
6,1,2600401,13912
6,1,2600500,22252
6,1,2600609,8827
6,1,2600708,19032
6,1,2600807,11762
6,1,2600906,11558
6,1,2601003,6103
6,1,2601052,12525
6,1,2601102,42129
6,1,2601201,34605
