NR_TURNO,CD_CARGO,SQ_CANDIDATO,NM_URNA_CANDIDATO,NM_CANDIDATO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,CD_SITUACAO_CANDIDATURA,CD_SIT_TOT_TURNO
1,6,170001613275,PROF NÉLIO FONSECA COLETIVO PE,NÉLIO FERNANDO DA FONSECA AGUIAR E SILVA,1500,15,MDB,12,5
1,6,170001602574,ZÉ NEGÃO,JOSÉ EDSON FERREIRA,1999,19,PODE,12,4
1,7,170001610738,ARMANDINHO,ARMANDO DANTAS DE BARROS FILHO,77000,77,SOLIDARIEDADE,12,5
1,6,170001609070,CORONEL MEIRA,LUIZ DE FRANÇA E SILVA MEIRA,2210,22,PL,12,2
1,6,170001609082,ANTONIO DE LEMOS,ANTÔNIO DE LEMOS VASCONCELOS NETO,2255,22,PL,12,5
1,7,170001722261,JOZELMA PAIZINHO,JOZELMA PAIZINHO DOS SANTOS MOURA,35477,35,PMB,3,-1
1,7,170001618733,DODUEL VARELA ,JOSUÉ VARELA DE OLIVEIRA,11999,11,PP,12,5
1,7,170001618409,DANIEL DO SALVE,DANIEL BRANDT GALVÃO,18100,18,REDE,12,5
1,7,170001722262,IRMÃO LEDILSON DA OFICINA,LEDILSON GOMES DA SILVA,35777,35,PMB,3,-1
1,7,170001718137,AECIO VIANA,AECIO ROBSON DE ANDRADE VIANA,33233,33,PMN,12,4
1,7,170001595436,JOSI DA ONG,JOSIVANIA MARIA BARBOSA,10111,10,REPUBLICANOS,3,-1
1,6,170001595462,FERNANDA PATRICIA,FERNANDA PATRICIA SANTOS DO NASCIMENTO,1065,10,REPUBLICANOS,12,5
1,6,170001619588,MICHELLE SANTOS,MICHELLE CARINE DOS SANTOS SIQUEIRA,5005,50,PSOL,12,5
2,3,170001604087,RAQUEL LYRA,RAQUEL TEIXEIRA LYRA LUCENA,45,45,PSDB,12,1
1,7,170001618395,DANI PORTELA,DANIELLE GONDIM PORTELA,50000,50,PSOL,12,2
1,7,170001619720,NADJÂNIA GOMES,NADJÂNIA GOMES NOGUEIRA,22212,22,PL,12,5
1,6,170001618846,ALDI SILVA,ALDIONE ANTÔNIO DA SILVA,1236,12,PDT,12,4
1,7,170001722277,ROBSON DE AGUAZINHA,ROBSON GUIMARÃES FERREIRA,35124,35,PMB,3,-1
1,7,170001609297,CHAPARRAL,CLÉBER JOSÉ DE AGUIAR DA SILVA,44222,44,UNIÃO,12,2
1,7,170001604066,BARBOSA,ANTONIO DE OLIVEIRA BARBOSA,10444,10,REPUBLICANOS,12,5
1,9,170001717121,JACKSON PEREIRA,JACKSON PEREIRA DA SILVA,281,28,PRTB,12,4
1,10,170001717120,EGRINALDO,EGRINALDO JOSE DA SILVA,281,28,PRTB,12,4
1,7,170001718133,IDO SEMPRE COM VOCE ,JOSE ROSENILDO ANDRADE DE SOUZA,33033,33,PMN,12,4
1,6,170001634989,FERNANDO LIMA RODA DE FOGO,FERNANDO DE OLIVEIRA LIMA,2887,28,PRTB,12,4
1,6,170001609028,CARLOS VERAS,JOSÉ CARLOS VERAS DOS SANTOS,1314,13,PT,12,2
1,6,170001595473,SILVIO COSTA FILHO,SILVIO SERAFIM COSTA FILHO,1010,10,REPUBLICANOS,12,2
1,7,170001610728,DR ROLAND POVOAS,ROLAND JOSÉ POVOAS DE CARVALHO,77789,77,SOLIDARIEDADE,12,5
1,7,170001609296,EDILSON DO METRO,EDILSON GOMES DE MELO,44477,44,UNIÃO,12,5
1,6,170001718011,ALESSANDRA DO POVO,ALESSANDRA LOPES DA SILVA,3344,33,PMN,12,4
1,6,170001718768,DO CARMO,MARIA DO CARMO DO NASCIMENTO MOREIRA,3630,36,AGIR,12,4
1,6,170001609065,ANA PAULA BRANDÃO,ANA PAULA BRANDÃO RODRIGUES DA SILVA DIU,2230,22,PL,12,5
2,4,170001728608,PRISCILA KRAUSE,PRISCILA KRAUSE BRANCO,45,23,CIDADANIA,12,1
1,6,170001718781,NEIDE MEYRELLYS,ZERONEIDE LOPES DA SILVA,3631,36,AGIR,12,4
1,6,170001596600,ALBÂNIA ALVES,ALBANIA DE SOUZA ALVES,3033,30,NOVO,12,4
1,6,170001609036,DULCI AMORIM,MARIA DULCICLEIDE MACÊDO COELHO AMORIM,1344,13,PT,12,5
1,7,170001608962,NUBIA SALVI,MARIA NUBIA FINIZOLA SALVI,43444,43,PV,12,5
1,7,170001723374,SIQUEIRA,ILO ALVES SIQUEIRA,27777,27,DC,3,-1
1,6,170001609043,DR LEONEL PIMENTEIRA,LEONEL PIMENTEIRA DE ABREU JÚNIOR,6540,65,PC do B,12,5
1,6,170001609024,GILBERTO DE DORA,GILBERTO JOSÉ DA SILVA,1303,13,PT,12,5
1,6,170001610570,DR WALDIR TENÓRIO,WALDIR TENÓRIO JUNIOR,7712,77,SOLIDARIEDADE,3,4
1,6,170001618840,MAJOR TOCA,ERIVALDO JOSÉ DE CARVALHO,1270,12,PDT,12,4
1,7,170001715594,LUIZA MELO,LUIZA CARLA DE MELO,21021,21,PCB,12,4
1,7,170001618933,CARLOS FERNANDO,CARLOS FERNANDO DO NASCIMENTO,12369,12,PDT,12,4
1,5,170001604083,GILSON MACHADO,GILSON MACHADO GUIMARÃES NETO,222,22,PL,12,4
1,6,170001717465,DÉBORA  GOMES,DÉBORA TAMIRES GOMES DE SALES,2906,29,PCO,3,4
1,6,170001610415,JOABE DO MERCADINHO,JOABE CELIO DE ALBUQUERQUE,7060,70,AVANTE,12,5
1,7,170001739178,NETO G DE GALEGO DE IBIRAJUBA,JOSE CUNTO GUERREIRO NETO,44844,44,UNIÃO,12,5
1,7,170001726026,EDUINO FILHO,JOSE EDUINO DE BRITO CAVALCANTI,45100,45,PSDB,3,-1
1,7,170001608953,PROFESSOR PEDRO FALCÃO,PEDRO HENRIQUE DE BARROS FALCÃO,65400,65,PC do B,12,5
1,6,170001609637,NINHA DO MALAQUIAS,SEVERINA LINDALVA DA SILVA,5155,51,PATRIOTA,12,4
1,7,170001609281,PATRÍCIA HENRY,PATRICIA TORRES HENRY,44999,44,UNIÃO,12,5
1,7,170001738824,MIRANDA QUARTETO DA ESPERANÇA,EDVALDO MIRANDA BATISTA,44244,44,UNIÃO,12,5
1,7,170001619691,NINO DE ENOQUE,ENOQUE FERREIRA DA COSTA JÚNIOR,22700,22,PL,12,3
1,6,170001613263,MARCOS VILAR,ANTÔNIO MARCOS CARDOSO VILAR DE CARVALHO,1513,15,MDB,12,5
1,7,170001609267,JADSON QUARTETO DA ESPERANÇA,JADSON JOSÉ BARBOSA,44244,44,UNIÃO,3,-1
1,7,170001609276,RAFAEL DA NOVA ALIANÇA,RAFAEL CARDOSO DA SILVA,44544,44,UNIÃO,3,-1
1,6,170001634995,DR JOSIEL BARRETO,JOSIEL BARRETO DA SILVA JUNIOR,2810,28,PRTB,12,4
1,7,170001610753,LULA CABRAL,LUIZ CABRAL DE OLIVEIRA FILHO,77777,77,SOLIDARIEDADE,12,3
1,7,170001619013,NETO LULA APOLINÁRIO,LUIZ APOLINÁRIO NETO,18444,18,REDE,3,-1
1,6,170001723211,BRANCA DURVANICE,DURVANICE GONÇALO DE OLIVEIRA,2334,23,CIDADANIA,12,4
1,7,170001609273,RENATA LIMA,RENATA VANESSA BARBOSA DE LIMA,44700,44,UNIÃO,3,-1
1,6,170001609644,LUCIANA VITOR,LUCIANA TEIXEIRA VITOR,5109,51,PATRIOTA,12,4
1,6,170001618842,FAGNER FERNANDES,JOSÉ FAGNER BEZERRA FERNANDES,1202,12,PDT,12,4
1,7,170001610723,HELLOYSA FERREIRA,HELLOYSA FERREIRA SILVA,77456,77,SOLIDARIEDADE,12,5
1,7,170001618931,ADEILDO MOURA,ADEILDO ANTONIO DE MOURA,12612,12,PDT,12,4
1,7,170001723343,FERNANDES CONCRETOS,JOSÉ FERNANDES DOS SANTOS JUNIOR,22135,22,PL,12,5
1,5,170001609174,CARLOS ANDRADE LIMA,CARLOS ANTONIO GOMES DE ANDRADE LIMA,444,44,UNIÃO,12,4
1,6,170001609039,PATRICK CAMPOS,PATRICK CAMPOS ARAÚJO,1311,13,PT,12,5
1,6,170001609641,GEORGE COSTA,GEORGE SAULO DE ANDRADE COSTA,5111,51,PATRIOTA,12,4
