CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
3,2,2606002,79616
3,2,2606101,19070
3,2,2606200,52467
3,2,2606309,5659
3,2,2606408,55828
3,2,2606507,11162
3,2,2606606,15304
3,2,2606705,5491
3,2,2606804,73493
3,2,2606903,7092
3,2,2607000,11039
3,2,2607109,3440
3,2,2607208,67168
3,2,2607307,17145
3,2,2607406,3391
3,2,2607505,14899
3,2,2607604,14233
3,2,2607653,19560
3,2,2607703,9547
3,2,2607752,16407
3,2,2607802,10770
3,2,2607901,391254
3,2,2607950,7069
3,2,2608008,11560
3,2,2608057,8359
3,2,2608107,19222
3,2,2608206,10918
3,2,2608255,8121
3,2,2608305,10214
3,2,2608404,9205
3,2,2608453,12602
3,2,2608503,15048
3,2,2608602,8566
3,2,2608701,9123
3,2,2608750,16268
3,2,2608800,25114
3,2,2608909,37643
3,2,2609006,15317
3,2,2609105,8721
3,2,2609154,9643
3,2,2609204,6070
3,2,2609303,9037
3,2,2609402,40564
3,2,2609501,21613
3,2,2609600,261323
3,2,2609709,14681
3,2,2609808,9569
3,2,2609907,37929
3,2,2610004,32029
3,2,2610103,4548
3,2,2610202,15522
3,2,2610301,8835
3,2,2610400,14288
3,2,2610509,20905
3,2,2610608,37605
3,2,2610707,197585
3,2,2610806,14801
3,2,2610905,38605
3,2,2611002,19397
3,2,2611101,193526
3,2,2611200,7930
3,2,2611309,16949
3,2,2611408,8780
3,2,2611507,11573
3,2,2611533,5015
3,2,2611606,1051756
3,2,2611705,17529
3,2,2611804,22401
3,2,2611903,12860
3,2,2612000,9594
3,2,2612109,5437
3,2,2612208,34262
3,2,2612307,9405
3,2,2612406,13020
3,2,2612455,10223
3,2,2612471,7711
3,2,2612505,54033
3,2,2612554,9597
3,2,2612604,24050
3,2,2612703,9178
3,2,2612802,6410
3,2,2612901,5869
3,2,2613008,27972
3,2,2613107,25520
3,2,2613206,14524
3,2,2613305,14178
3,2,2613404,11982
3,2,2613503,20573
3,2,2613602,18753
3,2,2613701,68278
3,2,2613800,11373
3,2,2613909,49368
3,2,2614006,12152
3,2,2614105,19100
3,2,2614204,22588
3,2,2614303,7676
3,2,2614402,4437
3,2,2614501,38918
3,2,2614600,16726
3,2,2614709,8443
3,2,2614808,13525
3,2,2614857,14847
3,2,2615003,17616
3,2,2615102,5102
3,2,2615201,6893
3,2,2615300,34296
3,2,2615409,27546
3,2,2615508,9546
3,2,2615607,17552
3,2,2615706,9513
3,2,2615805,12626
3,2,2615904,6552
3,2,2616001,11479
3,2,2616100,6329
3,2,2616183,6328
3,2,2616209,13506
3,2,2616308,17550
3,2,2616407,86646
3,2,2616506,7771
5,1,2600054,68900
5,1,2600104,22443
5,1,2600203,13773
5,1,2600302,16452
5,1,2600401,15678
5,1,2600500,24088
5,1,2600609,9929
5,1,2600708,22086
5,1,2600807,13820
5,1,2600906,13526
5,1,2601003,6944
5,1,2601052,13814
5,1,2601102,46163
5,1,2601201,40251
5,1,2601300,8336
5,1,2601409,23494
5,1,2601508,7637
5,1,2601607,12161
5,1,2601706,48922
5,1,2601805,7433
5,1,2601904,39215
5,1,2602001,20612
5,1,2602100,26190
5,1,2602209,23937
5,1,2602308,24471
5,1,2602407,7382
5,1,2602506,5749
5,1,2602605,26424
5,1,2602704,9288
5,1,2602803,28146
5,1,2602902,136496
5,1,2603009,20193
5,1,2603108,12888
5,1,2603207,14692
5,1,2603306,6276
5,1,2603405,5277
5,1,2603454,104582
5,1,2603504,12309
5,1,2603603,5880
